xmin,ymin,xmax,ymax,conf,cls,time,area,x_center,y_center
293.5685229342644,2987.0536562394905,518.0193393256598,3291.0092067014125,0.8818362951278687,0.0,38.0,68223.07144787436,405.79393112996206,3139.0314314704515
295.5626527129252,2994.518501119792,515.5287178065856,3291.008041238269,0.8971772193908691,0.0,39.0,65217.63748129039,405.54568525975543,3142.76327117903
294.4081744443799,2993.944263518291,515.1718224804017,3291.0069452255325,0.884052574634552,0.0,40.0,65580.64130905426,404.7899984623908,3142.4756043719117
294.7924196088469,2995.020662266925,514.9082048482691,3290.341622134953,0.8822383284568787,0.0,41.0,65004.804979010914,404.850312228558,3142.6811422009387
289.0524699962486,2980.0735083933514,520.0469095445121,3291.422738994178,0.9035434126853944,0.0,42.0,71919.94102642099,404.5496897703804,3135.7481236937647
293.3372465710623,2990.811590840124,516.8479326885428,3291.171064697338,0.887053370475769,0.0,43.0,67133.55208371129,405.09258962980255,3140.991327768731
295.2554642943268,2997.1107357798123,514.7189946236608,3291.067303354975,0.8905770778656006,0.0,44.0,64512.74608353866,404.98722945899385,3144.0890195673937
289.79712037372764,2984.717865091944,518.1043655602421,3291.696075719339,0.8916387557983398,0.0,45.0,70085.34960062617,403.9507429669849,3138.2069704056416
293.0860688345513,2993.89852397264,514.7186325326979,3291.271812673386,0.8844514489173889,0.0,46.0,65907.60435009551,403.9023506836246,3142.585168323013
293.4105260240557,2994.849710403403,515.0509113444925,3291.767790187017,0.8926120400428772,0.0,47.0,65809.03761184438,404.2307186842741,3143.3087502952103
292.0918487417166,2991.8631533888843,515.9616225547722,3291.949531154511,0.8883578777313232,0.0,48.0,67180.26951477004,404.0267356482444,3141.9063422716977
293.3457119724288,2994.0240154086828,515.8844276280554,3292.014657048225,0.8836935758590698,0.0,49.0,66314.45466785987,404.61506980024205,3143.019336228454
290.4833512374355,2987.5417413491823,517.2184339366277,3292.0354067915296,0.8804720044136047,0.0,50.0,69039.39641545076,403.8508925870316,3139.788574070356
289.5739134449949,2985.1167182412164,518.2194849508318,3292.696615941728,0.8711490631103516,0.0,51.0,70326.7814934403,403.89669919791334,3138.906667091472
288.59925424340213,2980.919407557025,519.2406879394747,3292.2892114972365,0.889193594455719,0.0,52.0,71814.77799043542,403.9199710914384,3136.6043095271307
287.7835019590641,2978.688683961976,519.4277690114454,3292.129387155139,0.8781517744064331,0.0,53.0,72606.7419555632,403.60563548525477,3135.4090355585577
288.7634389689783,2981.1534660095845,518.2166422991914,3292.065230943054,0.892794132232666,0.0,54.0,71339.7004170348,403.49004063408483,3136.609348476319
291.3240976951733,2988.7376543520627,515.5789502527072,3292.0382423774195,0.8717697858810425,0.0,55.0,68016.62864823971,403.4515239739402,3140.387948364741
290.2415923445178,2989.642675714545,513.9807636181065,3292.0259208843427,0.8839178085327148,0.0,56.0,67654.97668130891,402.11117798131215,3140.8342982994436
291.2894163889936,2995.273325910858,511.286786575604,3292.020082276247,0.8858797550201416,0.0,57.0,65283.50601179239,401.28810148229877,3143.6467040935527
290.2889856464312,2993.38012285621,512.3566352955139,3292.683375614665,0.8660323023796082,0.0,58.0,66465.56987239535,401.3228104709725,3143.0317492354375
289.66265787713473,2991.3326324205555,513.0279516682027,3292.2658291423904,0.8838225603103638,0.0,59.0,67218.03189725793,401.3453047726687,3141.799230781473
287.02886738494425,2981.291507707458,517.0208843767498,3292.104720420654,0.905479371547699,0.0,60.0,71484.55769961099,402.02487588084705,3136.698114064056
