5,115,1008.98,2419.48,112.62,131.76,0.730253,-1,-1,-1
5,116,3709.42,1360.21,118.50,131.33,0.611359,-1,-1,-1
5,117,3942.13,3007.45,70.64,156.28,0.650013,-1,-1,-1
5,118,4155.20,2213.92,91.55,92.42,0.659027,-1,-1,-1
5,120,2176.68,1913.15,115.32,143.94,0.638975,-1,-1,-1
5,121,1133.78,2446.85,68.80,132.69,0.644869,-1,-1,-1
5,122,2384.92,2184.37,101.37,131.36,0.598892,-1,-1,-1
5,125,3570.65,1009.32,94.26,114.71,0.724316,-1,-1,-1
5,126,1633.95,1014.12,94.55,170.33,0.814512,-1,-1,-1
5,127,2771.03,4.36,73.96,70.97,0.615433,-1,-1,-1
5,131,1211.25,1822.07,122.65,152.89,0.684099,-1,-1,-1
5,136,2274.03,508.33,94.48,126.89,0.680022,-1,-1,-1
5,138,1806.15,2869.71,73.94,143.16,0.614891,-1,-1,-1
5,139,3374.29,2667.81,67.66,102.89,0.580169,-1,-1,-1
5,140,3466.36,2409.08,101.68,97.46,0.620554,-1,-1,-1
5,142,4404.44,1744.29,100.66,105.82,0.727760,-1,-1,-1
5,143,4726.86,1519.31,79.45,156.26,0.614487,-1,-1,-1
5,147,1736.49,2855.25,93.76,160.73,0.621924,-1,-1,-1
5,148,2223.07,3374.66,218.71,124.56,0.638766,-1,-1,-1
5,149,3426.56,296.36,108.60,129.32,0.674337,-1,-1,-1
5,150,879.85,1182.64,58.71,134.40,0.785765,-1,-1,-1
5,69,1480.60,2517.58,127.90,146.42,0.805651,-1,-1,-1
5,71,1818.68,2590.76,213.39,137.64,0.910995,-1,-1,-1
5,75,1554.99,477.28,118.23,132.84,0.863034,-1,-1,-1
5,72,2157.71,675.64,220.64,151.64,0.898988,-1,-1,-1
5,76,1173.24,1221.55,274.15,137.48,0.586827,-1,-1,-1
5,1,2548.99,729.07,261.95,213.54,0.703003,-1,-1,-1
5,47,2273.46,1273.41,287.58,196.65,0.717338,-1,-1,-1
5,55,2335.63,2464.18,288.10,207.00,0.871892,-1,-1,-1
6,13,2806.71,2559.26,292.28,217.13,0.985079,-1,-1,-1
6,19,3002.19,3110.12,301.99,219.08,0.894488,-1,-1,-1
6,28,1822.18,984.82,314.40,227.56,0.935974,-1,-1,-1
6,33,1805.48,1884.48,258.73,223.37,0.996744,-1,-1,-1
6,35,1536.81,1406.49,292.26,186.35,0.794383,-1,-1,-1
6,40,1059.40,610.81,207.25,189.86,0.745139,-1,-1,-1
6,42,1879.56,2249.50,218.29,147.44,0.850760,-1,-1,-1
6,50,1680.42,1302.10,184.41,132.05,0.964247,-1,-1,-1
6,52,1430.21,1022.54,220.98,152.07,0.867013,-1,-1,-1
6,65,1680.74,466.58,264.93,174.72,0.901384,-1,-1,-1
6,83,1452.31,2064.50,140.36,148.93,0.969134,-1,-1,-1
6,84,3361.69,2473.60,97.16,159.02,0.925579,-1,-1,-1
6,85,4571.05,1237.37,126.14,145.82,0.938834,-1,-1,-1
6,86,4280.51,1644.45,79.52,144.75,0.932494,-1,-1,-1
6,87,3455.91,1638.22,119.10,166.64,0.907012,-1,-1,-1
6,89,4664.11,2568.55,95.90,109.38,0.770448,-1,-1,-1
6,90,2078.78,2585.89,82.77,161.52,0.887500,-1,-1,-1
6,92,2147.02,2892.18,80.21,89.25,0.685040,-1,-1,-1
6,96,1688.07,1922.64,71.81,107.13,0.871587,-1,-1,-1
6,97,2163.01,1292.20,125.20,150.81,0.761173,-1,-1,-1
6,99,1055.23,1072.56,130.50,168.08,0.853297,-1,-1,-1
6,100,1122.48,904.57,92.82,144.17,0.756345,-1,-1,-1
6,103,2888.36,990.27,125.15,143.31,0.767062,-1,-1,-1
